timestamp,price,amount,log_return,sma,vwap,volatility
2025-08-12 15:14:57.182,119421.2,34,0.0,119459.79000000001,119389.62365449488,7.01762606168276e-05
2025-08-12 15:14:57.182,119421.2,16,0.0,119457.00499999998,119389.6310617835,7.020452812842845e-05
2025-08-12 15:15:02.703,119414.4,2,-5.694293482081695e-05,119454.41500000001,119389.63178806014,6.895229599783983e-05
2025-08-12 15:15:02.714,119414.4,10,0.0,119451.825,119389.63541880451,6.895229599783983e-05
2025-08-12 15:15:11.393,119414.3,16,-8.374202932482703e-07,119449.23000000001,119389.64120233324,6.89386880597573e-05
2025-08-12 15:15:11.393,119414.3,150,0.0,119446.63500000001,119389.6952912963,6.89386880597573e-05
2025-08-12 15:15:11.393,119414.3,88,0.0,119444.04,119389.72691319087,6.89386880597573e-05
2025-08-12 15:15:11.393,119414.3,82,0.0,119441.44499999999,119389.75630597786,6.89386880597573e-05
2025-08-12 15:15:18.115,119414.4,18,8.374202933034074e-07,119438.85500000001,119389.76277489362,6.895283128021503e-05
2025-08-12 15:15:19.384,119414.3,18,-8.374202932482703e-07,119436.26000000001,119389.76921417125,6.893922344779209e-05
2025-08-12 15:15:19.384,119414.3,4,0.0,119433.665,119389.77064466287,6.893922344779209e-05
2025-08-12 15:15:20.770,119414.4,34,8.374202933034074e-07,119431.075,119389.7828466516,6.895336655843487e-05
2025-08-12 15:15:21.931,119421.3,6,5.7780306729151355e-05,119428.975,119389.78560188836,7.119582188620612e-05
2025-08-12 15:15:22.524,119428.4,336,5.945161331224682e-05,119427.405,119389.97371900834,7.316566954480458e-05
2025-08-12 15:15:22.524,119428.4,140,0.0,119425.85499999998,119390.0515612792,7.319309030677264e-05
2025-08-12 15:15:22.524,119428.4,332,0.0,119424.36499999999,119390.2349039487,7.324871086967892e-05
2025-08-12 15:15:22.524,119428.4,332,0.0,119422.89000000001,119390.41650184891,7.326883904216405e-05
2025-08-12 15:15:22.524,119428.4,796,0.0,119421.415,119390.84493977619,7.326883904216405e-05
2025-08-12 15:15:27.930,119428.6,6,1.674642150060143e-06,119419.94499999999,119390.84814951266,7.3277011012541e-05
2025-08-12 15:15:27.959,119430.0,38,1.1722416526051814e-05,119420.38500000001,119390.86921856864,2.2926770046371893e-05
2025-08-12 15:15:30.104,119438.0,2,6.6982601294292e-05,119421.225,119390.87055341573,2.69071170910112e-05
2025-08-12 15:15:30.104,119438.0,50,0.0,119422.06500000002,119390.90390003688,2.69071170910112e-05
2025-08-12 15:15:30.165,119438.0,8,0.0,119423.245,119390.9092311176,2.241972203462276e-05
2025-08-12 15:15:30.291,119438.0,2,0.0,119424.425,119390.91056369922,2.241972203462276e-05
2025-08-12 15:15:30.291,119438.2,4,1.674507548178306e-06,119425.62,119390.91323995481,2.2363484566105752e-05
2025-08-12 15:15:30.809,119448.5,2,8.623334833104227e-05,119427.32999999999,119390.91486941521,2.794829081187687e-05
2025-08-12 15:15:30.809,119448.5,56,0.0,119429.04,119390.96045689737,2.794829081187687e-05
2025-08-12 15:15:30.809,119448.5,202,0.0,119430.75,119391.12429940804,2.794829081187687e-05
2025-08-12 15:15:30.811,119448.7,4,1.6743603523916358e-06,119432.465,119391.12754566991,2.792766319656528e-05
2025-08-12 15:15:30.811,119450.0,6,1.0883273956737775e-05,119434.25,119391.13252431298,2.77141400720714e-05
2025-08-12 15:15:30.811,119450.0,16,0.0,119436.035,119391.14579657873,2.77141400720714e-05
2025-08-12 15:15:30.811,119450.0,6,0.0,119437.81499999999,119391.15077213557,2.773719999567238e-05
2025-08-12 15:15:30.811,119451.2,60,1.004599390877216e-05,119439.30999999998,119391.20149510089,2.5842614069165546e-05
2025-08-12 15:15:30.811,119453.8,2,2.1765973923656995e-05,119440.58,119391.20325759504,2.3508854937588283e-05
2025-08-12 15:15:30.811,119455.8,2,1.674273449078199e-05,119441.95,119391.20507629943,2.340818118674938e-05
2025-08-12 15:15:30.817,119457.0,2,1.004550614295945e-05,119443.37999999998,119391.20692868615,2.3256395616346885e-05
2025-08-12 15:15:30.817,119458.1,2,9.208291983222631e-06,119444.86499999999,119391.20881193703,2.309750902014513e-05
2025-08-12 15:15:30.817,119460.0,22,1.5905031891992256e-05,119446.44499999999,119391.23010891907,2.2920044834381112e-05
2025-08-12 15:15:30.817,119461.6,2,1.3393514860359018e-05,119448.095,119391.23208938431,2.275836793661932e-05
2025-08-12 15:15:30.817,119461.8,2,1.6741767444593217e-06,119449.68499999998,119391.23407536665,2.2917325882122903e-05
2025-08-12 15:15:30.817,119463.1,46,1.0882080519942192e-05,119450.93999999999,119391.28056305557,1.912124801722918e-05
2025-08-12 15:15:31.687,119463.1,12,0.0,119452.19499999999,119391.29268038928,1.912124801722918e-05
2025-08-12 15:15:31.687,119463.1,112,0.0,119453.45,119391.40557864011,1.912124801722918e-05
2025-08-12 15:15:31.687,119463.1,204,0.0,119454.705,119391.61030515126,1.912124801722918e-05
2025-08-12 15:15:31.687,119463.1,70,0.0,119455.95,119391.68028527488,1.9165570061633044e-05
2025-08-12 15:15:31.687,119463.1,278,0.0,119456.68000000001,119391.95685908517,7.140078403195253e-06
2025-08-12 15:15:31.687,119463.1,110,0.0,119457.41,119392.06570419214,7.140078403195253e-06
2025-08-12 15:15:31.687,119463.1,174,0.0,119458.14000000001,119392.2371989123,7.140078403195253e-06
2025-08-12 15:15:32.264,119463.0,4,-8.370789127050538e-07,119458.85500000001,119392.24112603372,7.243547295768877e-06
2025-08-12 15:15:36.207,119463.0,136,0.0,119459.505,119392.37438929827,7.26500539470158e-06
2025-08-12 15:15:36.885,119463.1,28,8.370789126656985e-07,119460.16,119392.40180232566,7.234354503307439e-06
2025-08-12 15:15:36.885,119463.1,418,0.0,119460.81499999999,119392.80852762263,7.234354503307439e-06
2025-08-12 15:15:36.885,119463.1,36,0.0,119461.41,119392.84333782714,7.249614915665518e-06
2025-08-12 15:15:38.303,119464.4,4,1.0881962101512355e-05,119461.93999999999,119392.84727502828,6.2649459330182345e-06
2025-08-12 15:15:47.594,119464.5,2,8.37069102965309e-07,119462.375,119392.84924621742,5.5942152267270996e-06
2025-08-12 15:15:47.601,119464.7,2,1.6741361039253657e-06,119462.76000000001,119392.8512228,5.399624202554652e-06
2025-08-12 15:15:47.601,119466.7,8,1.674120689077565e-05,119463.19000000002,119392.85934809525,6.06129507150281e-06
2025-08-12 15:15:47.602,119468.0,278,1.0881634187165627e-05,119463.59000000001,119393.14554721332,5.611960371750328e-06
2025-08-12 15:15:47.602,119469.2,2,1.0044480306967219e-05,119463.97,119393.14763118244,5.339818147164063e-06
2025-08-12 15:15:47.602,119470.0,28,6.696264154321209e-06,119464.38,119393.1771015367,5.383144409382098e-06
2025-08-12 15:15:48.658,119472.8,18,2.343657143150491e-05,119464.86500000002,119393.19672490287,6.8340729624386905e-06
2025-08-12 15:15:48.658,119472.8,36,0.0,119465.35,119393.23594263199,6.8340729624386905e-06
2025-08-12 15:15:48.658,119472.8,16,0.0,119465.83499999999,119393.2533603328,6.8340729624386905e-06
2025-08-12 15:15:48.658,119473.6,2,6.6960623806312035e-06,119466.35999999999,119393.25555890005,6.7885908322693144e-06
2025-08-12 15:15:48.815,119487.8,2,0.00011884764666358417,119467.59500000002,119393.25814589839,2.6407330151372874e-05
2025-08-12 15:15:48.815,119487.8,16,0.0,119468.83,119393.27883678947,2.6407330151372874e-05
2025-08-12 15:15:49.377,119487.8,186,0.0,119470.06499999999,119393.51870548754,2.6407330151372874e-05
2025-08-12 15:15:49.377,119488.0,2,1.6738096493866554e-06,119471.30999999998,119393.52128356259,2.637547938344846e-05
2025-08-12 15:15:49.378,119490.5,16,2.092238423188054e-05,119472.68499999998,119393.54244871241,2.6335420699317977e-05
2025-08-12 15:15:49.380,119490.5,16,0.0,119474.05999999998,119393.56360462584,2.6335420699317977e-05
2025-08-12 15:15:49.381,119490.5,16,0.0,119475.42999999998,119393.58475130895,2.6353931714648914e-05
2025-08-12 15:15:49.557,119490.5,12,0.0,119476.8,119393.60060526752,2.6353931714648914e-05
2025-08-12 15:15:49.557,119490.7,2,1.6737718281483143e-06,119478.18000000001,119393.60325254238,2.631823552977939e-05
2025-08-12 15:15:49.557,119491.4,2,5.858179336512238e-06,119479.53,119393.60591875685,2.6348906949213497e-05
2025-08-12 15:15:49.557,119493.4,58,1.6737466148838702e-05,119480.975,119393.68475578201,2.6256339306317886e-05
2025-08-12 15:15:49.557,119495.1,2,1.4226625967632147e-05,119482.495,119393.68751838742,2.614393707093308e-05
2025-08-12 15:15:49.557,119498.8,2,3.0963133371041514e-05,119484.1,119393.69038162955,2.645063005003309e-05
2025-08-12 15:15:49.557,119500.0,2,1.0041891423880874e-05,119485.7,119393.69327740255,2.6455559058483426e-05
2025-08-12 15:15:50.396,119500.0,2,0.0,119487.24000000002,119393.6961730178,2.6617276625122795e-05
2025-08-12 15:15:50.410,119499.9,2,-8.368204339168405e-07,119488.73500000002,119393.69906575154,2.676241966426333e-05
2025-08-12 15:15:50.416,119499.9,2,0.0,119490.09,119393.7019583277,2.6771997301353573e-05
2025-08-12 15:15:50.428,119499.9,2,0.0,119491.44499999999,119393.7048507463,2.6771997301353573e-05
2025-08-12 15:15:56.424,119500.0,98,8.368204338660635e-07,119492.80500000001,119393.84651978787,2.6753989147531586e-05
2025-08-12 15:15:56.424,119500.0,230,0.0,119494.125,119394.1775298265,2.6857414413963673e-05
2025-08-12 15:15:56.424,119500.0,44,0.0,119494.73499999999,119394.2406183947,8.885145619478583e-06
2025-08-12 15:15:56.424,119500.0,112,0.0,119495.345,119394.40086855352,8.885145619478583e-06
2025-08-12 15:15:56.424,119500.0,66,0.0,119495.955,119394.4950744776,8.885145619478583e-06
2025-08-12 15:15:56.424,119500.0,110,0.0,119496.55500000001,119394.65171138587,8.92694872858215e-06
2025-08-12 15:15:56.424,119500.0,138,0.0,119497.03,119394.84756297997,8.15828346856557e-06
2025-08-12 15:15:57.498,119500.0,40,0.0,119497.505,119394.90419550292,8.15828346856557e-06
2025-08-12 15:16:00.736,119499.9,326,-8.368204339168405e-07,119497.975,119395.36304895708,8.18185495877132e-06
2025-08-12 15:16:00.736,119499.9,278,0.0,119498.44500000002,119395.75118465693,8.18185495877132e-06
2025-08-12 15:16:00.736,119499.9,278,0.0,119498.905,119396.13644879714,8.214676446139069e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.33,119396.5928302687,8.243675394656254e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.655,119397.04521473043,7.66438456669297e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.89499999999,119397.49365446238,7.1854450280036195e-06
2025-08-12 15:16:00.736,119499.9,22,0.0,119499.95,119397.52323224366,2.279239509464492e-06
2025-08-12 15:16:00.736,119499.9,336,0.0,119499.94499999999,119397.97285180248,3.297360901733922e-07
2025-08-12 15:16:01.234,119489.6,58,-8.619625553732103e-05,119499.425,119398.0422626822,1.926703956490949e-05
